,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
106,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Variable Importances,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/variable-importances,"Decision Trees, Decision Forests, Random Forest, Split, Node, variiable importance, feature importance",5.0 minutes
107,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/variable-importances-mce,"Decision Trees, Decision Forests, Random Forest, Split, Node, variable importance, feature importance",5.0 minutes
108,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,A Decision Tree Example,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/practice,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",5.0 minutes
109,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,A Decision Tree Example: A full example,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/practice,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",5.0 minutes
110,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Forests ?,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real,"Decision Forests, Random Forest",2.0 minutes
111,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Forests : Introduction,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real,"Decision Forests, Random Forest",2.0 minutes
112,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests ?,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",22.0 minutes
113,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Introduction,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",2.0 minutes
114,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Random Forests,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/random-forests,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",8.0 minutes
115,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Check Your Understanding,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/random-forests-mce,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",5.0 minutes
116,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Out-of-bag Evaluation,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/out-of-bag,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF",5.0 minutes
117,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Other topics,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/other-topics,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF, Intrepretation, SHAP, SHapley Additive Explainations",2.0 minutes
118,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees ?,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",10.0 minutes
