,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
448,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: BigQuery IO,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103682,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",2.0 minutes
449,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: PubSub IO,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103683,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",1.0 minutes
450,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: Kafka IO,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103684,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",1.0 minutes
451,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: BigTable IO,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103685,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",1.0 minutes
452,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: Avro IO,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103686,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",1.0 minutes
453,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: Splittable DoFn,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103687,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",1.0 minutes
454,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: Quiz 3 - Sources & Sinks,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/quizzes/103688,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",5.0 minutes
455,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks:: Module Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/documents/103689,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",2.0 minutes
456,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103690,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",250.0 minutes
457,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas: Beam schemas,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103690,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",3.0 minutes
458,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas: Code examples,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103691,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",1.0 minutes
459,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas: Serverless Data Processing with Dataflow - Branching Pipelines (Java),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/labs/103692,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",120.0 minutes
460,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas: Serverless Data Processing with Dataflow - Branching Pipelines (Python),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/labs/103693,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",120.0 minutes
461,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas: Quiz 4 - Schemas,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/quizzes/103694,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",5.0 minutes
462,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Schemas: Module Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/documents/103695,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, schema",2.0 minutes
463,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,State and Timers,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103696,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, state, timer, api",315.0 minutes
464,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,State and Timers: State API,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103696,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, state, timer, api",5.0 minutes
465,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,State and Timers: Timer API,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103697,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, state, timer, api",3.0 minutes
466,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,State and Timers: Summary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103698,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, state, timer, api",3.0 minutes
467,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,State and Timers: Quiz 5 - State and Timers,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/quizzes/103699,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, state, timer, api",5.0 minutes
468,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,State and Timers: Module Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/documents/103700,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, state, timer, api",2.0 minutes
469,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103701,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",290.0 minutes
470,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Schemas,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103701,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",2.0 minutes
471,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Handling un-processable data,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103702,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",1.0 minutes
472,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Error handling,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103703,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",1.0 minutes
473,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: AutoValue code generator,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103704,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",1.0 minutes
474,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: JSON data handling,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103705,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",1.0 minutes
475,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Utilize DoFn lifecycle,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103706,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",1.0 minutes
476,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Pipeline Optimizations,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103707,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",2.0 minutes
477,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Serverless Data Processing with Dataflow - Advanced Streaming Analytics Pipeline with Cloud Dataflow (Java),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/labs/103708,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",90.0 minutes
478,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Serverless Data Processing with Dataflow - Advanced Streaming Analytics Pipeline with Cloud Dataflow (Python),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/labs/103709,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",120.0 minutes
479,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Quiz 6 - Best Practices,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/quizzes/103710,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",5.0 minutes
480,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Best Practices: Module Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/documents/103711,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, best practices, error handling, pipeline optimizaion",2.0 minutes
481,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Dataflow SQL and Dataframes,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103712,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, sql, dataframes, serverless, bigtable",500.0 minutes
482,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Dataflow SQL and Dataframes: Dataflow and Beam SQL,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103712,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, sql, dataframes, serverless, bigtable",9.0 minutes
483,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Dataflow SQL and Dataframes: Windowing in SQL,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103713,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, sql, dataframes, serverless, bigtable",1.0 minutes
